userId,Animal,Science,Sport,Book,Beauty,Play,History,Sea,Craft,Art,Car,Electronics,Game,Sightseeing,Plant,African,Health,Middle Eastern,Alcohol,Fancy,Drink,Australian,Asian,Fast Food,European,SeaFood,Latin American,American,Sweet
1,1.0,0.0,3.0,0.0,11.0,1.0,0.0,0.0,0.0,21.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,17.0,0.0,13.0,3.0,0.0
2,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,12.0,14.0,2.0,3.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,2.0,0.0,5.0,8.0,2.0
3,5.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,8.0,0.0,23.0,1.0,4.0
4,1.0,0.0,2.0,0.0,5.0,6.0,0.0,0.0,0.0,3.0,34.0,0.0,3.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,9.0,4.0,1.0,5.0,9.0,2.0
5,0.0,0.0,0.0,0.0,13.0,18.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
6,0.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,2.0,3.0
7,1.0,0.0,6.0,1.0,90.0,4.0,1.0,0.0,0.0,11.0,29.0,3.0,1.0,0.0,6.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,7.0,8.0,17.0,0.0,5.0,17.0,9.0
8,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,74.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,5.0,1.0,2.0
9,1.0,1.0,9.0,1.0,12.0,5.0,0.0,0.0,1.0,12.0,2.0,9.0,3.0,6.0,1.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,9.0,1.0,19.0,8.0,4.0
10,0.0,0.0,6.0,0.0,11.0,3.0,0.0,2.0,0.0,30.0,0.0,5.0,14.0,16.0,5.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,11.0,0.0,4.0,2.0,7.0
